Source,Target,Weight
KOVARRO,PYATT_PREE,3
LANCEL,STANNIS,3
LITTLEFINGER,ROBIN,43
LITTLEFINGER,ROBB,5
LORAS,PYCELLE,5
LORAS,TYWIN,20
MAESTER_LUWIN,WINTERFELL_SHEPHERD,3
MAESTER_LUWIN,PORTAN,3
MALAKKO,XARO,3
MANCE,RATTLESHIRT,3
MOUNTAIN,POLLIVER,5
MYRCELLA,ROBIN,3
NED,YARA,3
PODRICK,PYCELLE,3
PODRICK,SHAE,8
PYATT_PREE,SPICE_KING,3
QUENT,ROBB,3
ROBB,SEPTON,3
ROBIN,TYRION,5
RORGE,YOREN,3
SANSA,TYWIN,24
SHAE,TOMMEN,3
STANNIS,TYWIN,8
THEON,VARYS,11
TIMETT,TYRION,3
TOMMEN,TYRION,15
AEGON,ARYA,2
AERYS,PYCELLE,2
AERYS,TYWIN,2
ALTON,TALISA,2
AMORY,HOT_PIE,2
ARYA,KEVAN,2
ARYA,REGINALD,2
ARYA,RHAENYS,2
BALON,CATELYN,2
BARRA,JANOS,2
BENJEN,CRASTER,2
BILLY,RICKON,2
BITER,YOREN,2
BLACK_LORREN,OSHA,2
BLACK_LORREN,MAESTER_LUWIN,2
BOROS,JOFFREY,2
BRAN,SANSA,51
BRIENNE,DAVOS,17
BRIENNE,RICKARD_KARSTARK,2
BRIENNE,MELISANDRE,12
BRIENNE,COLEN,2
BRIENNE,LITTLEFINGER,48
BRONN,CERSEI,14
CATELYN,DAVOS,2
CATELYN,MELISANDRE,2
CATELYN,RICKON,4
CERSEI,DAVOS,6
CERSEI,JOANNA,4
CERSEI,HAYLENE,2
CERSEI,SALLADHOR,2
CERSEI,MATTHOS,2
COLEN,MARGAERY,2
COLEN,LORAS,2
COLEN,RENLY,2
CRASTER,MANCE,4
CRESSEN,MATTHOS,2
DAGMER,YARA,2
DAGMER,FARLEN,2
DAGMER,HODOR,2
DAVOS,ROBERT,5
DAVOS,MARYA,2
DAVOS,JOFFREY,2
DAVOS,FATHER_SEAWORTH,2
DAVOS,ROBB,4
DAVOS,LORAS,2
DONTOS,SANSA,32
EDDISON_TOLLETT,JEOR,8
FARLEN,RICKON,2
FREY_DAUGHTER,ROBB,2
GILLY,GRENN,2
HARREN,TYWIN,2
HAYLENE,PODRICK,2
HIGH_SEPTON,MYRCELLA,2
HOT_PIE,POLLIVER,2
HOT_PIE,TICKLER,2
HOUND,STANNIS,2
HOUND,TOMMEN,2
ILYN_PAYNE,TOMMEN,2
ILYN_PAYNE,LANCEL,2
JACKS,JAIME,2
JANOS,PYCELLE,2
JAQEN,YOREN,2
JOFFREY,SHAE,12
JOFFREY,MATTHOS,2
JORAH,MALAKKO,2
KEVAN,STANNIS,2
KOVARRO,SPICE_KING,2
LANCEL,TOMMEN,2
LANCEL,SHAE,2
LITTLEFINGER,MYRCELLA,2
LORAS,TOMMEN,25
LORAS,MELISANDRE,2
LORAS,ROBB,2
MARGAERY,TYWIN,12
MARGAERY,STANNIS,2
MATTHOS,ROBERT,2
MERYN,TOMMEN,2
MHAEGAN,ROS,2
MYRCELLA,TRYSTANE,26
MYRCELLA,ROBERT,2
NED,RODRIK,4
POLLIVER,TYWIN,2
PROTESTER,TYRION,2
QUAITHE,XARO,2
RAMSAY,ROOSE_BOLTON,122
RENNICK,ROBB,2
RHAENYS,VISENYA,2
RICKARD_KARSTARK,ROOSE_BOLTON,11
RICKARD_KARSTARK,TALISA,5
RICKON,RODRIK,2
ROBERT,THEON,2
SEPTON,TALISA,2
SILK_KING,SPICE_KING,2
TALISA,TORRHEN,2
THEON,TORRHEN,2
TRYSTANE,TYRION,2
RAMSAY,THEON,235
DAENERYS,MISSANDEI,198
BRAN,JOJEN,107
ARYA,THOROS,63
MARGAERY,SANSA,71
JAIME,LOCKE,59
BARRISTAN,JORAH,91
KRAZNYS_MO_NAKLOZ,MISSANDEI,54
JAIME,QYBURN,88
DAVOS,GENDRY,105
EDMURE,ROBB,46
GENDRY,MELISANDRE,48
DAVOS,SHIREEN,103
OLENNA,VARYS,40
BARRISTAN,DAENERYS,107
JON,ORELL,37
DAARIO,DAENERYS,225
OLENNA,TYWIN,49
JON,TORMUND,236
MEERA,OSHA,34
ARYA,BERIC,33
CERSEI,MARGAERY,131
ORELL,YGRITTE,32
OLENNA,TYRION,40
OLENNA,SANSA,33
ORELL,TORMUND,30
BRAN,MEERA,148
JAIME,ROOSE_BOLTON,29
TORMUND,YGRITTE,58
BERIC,THOROS,66
JOJEN,OSHA,28
BRYNDEN,CATELYN,27
ANGUY,ARYA,26
BERIC,HOUND,114
CERSEI,OLENNA,87
JOJEN,MEERA,68
DAENERYS,KRAZNYS_MO_NAKLOZ,23
HODOR,JOJEN,44
ROOSE_BOLTON,WALDER,23
MYRANDA,VIOLET,22
MARGAERY,OLENNA,123
SELYSE,STANNIS,60
ANGUY,HOUND,20
ANGUY,THOROS,20
